,uid,timestamp,clock,type,item,quantity,status,init_time,acked_time,received_time
0,9854113a-3af8-456e-8d7f-d1fba37ffc4e,2026-04-22 02:26:45.724619,{},ELECT,,,DONE,1776839205.7192214,,
1,c25c3b9c-9b7b-4f77-ab04-cbaefd762284,2026-04-22 02:26:45.727697,{},ELECT,,,STARTED,1776839205.7276974,,
