,uid,timestamp,clock,type,item,quantity,status,init_time,acked_time,received_time
0,6021e08a-f897-457b-bcd2-5df78cbdba35,2026-04-22 10:56:47.409496,{},ELECT,,,DONE,1776869807.4030545,,
1,9e2a86c0-2f82-4ffa-945f-7cf95e9e717e,2026-04-22 10:57:02.439212,"{0: 2, 1: 1, 2: 1, 3: 0, 4: 2, 5: 0}",INIT,FISH,1,DONE,1776869812.3030384,1776869822.4402115,1776869822.797334
2,7c15ae2d-ae4d-4170-bc59-6c33bc1b77fc,2026-04-22 10:57:02.446304,"{0: 2, 1: 2, 2: 2, 3: 1, 4: 3, 5: 0}",INIT,BOAR,5,DONE,1776869816.4138646,1776869822.4473546,1776869822.9276466
3,da03acd1-dda2-410e-bbf8-f22efb53db94,2026-04-22 10:57:02.448377,"{0: 2, 1: 3, 2: 2, 3: 1, 4: 3, 5: 0}",INIT,BOAR,7,DONE,1776869817.4983552,1776869822.4493842,1776869822.9356258
4,911db57e-c0e6-43dc-89b5-03f18ab35139,2026-04-22 10:57:02.451605,"{0: 3, 1: 4, 2: 2, 3: 1, 4: 3, 5: 0}",RESTOCK,SALT,0.0,DONE,1776869819.229531,1776869822.452632,
5,2eea6948-039e-4fca-add1-c2e37d64b6c6,2026-04-22 10:57:06.549746,"{0: 5, 1: 5, 2: 3, 3: 2, 4: 4, 5: 0}",INIT,BOAR,7,DONE,1776869826.5421207,1776869826.5509493,1776869826.6574543
6,a68212ab-41b4-4691-bfa5-3b3935a47cea,2026-04-22 10:57:08.603687,"{0: 5, 1: 6, 2: 4, 3: 2, 4: 5, 5: 0}",INIT,FISH,5,STARTED,1776869828.6036875,,
