,uid,timestamp,clock,type,item,quantity,status,init_time,acked_time,received_time
0,31cc7aa7-6ce4-4f58-bf99-c8a01212a01e,2026-04-22 03:28:09.252576,{},ELECT,,,DONE,1776842889.2469473,,
1,27a9fc5d-9209-4bfe-a4e2-fcfd0371849d,2026-04-22 03:28:24.287104,{},ELECT,,,DONE,1776842904.2710006,,
2,ae1100cd-7128-4f3c-bfb2-de30ac9f5e87,2026-04-22 03:31:16.465827,{},ELECT,,,DONE,1776843076.4627492,,
3,59e0d98b-0d3a-4390-96f0-1664b914aea9,2026-04-22 03:34:09.041261,{},ELECT,,,DONE,1776843249.0370448,,
4,ab39eca8-10b3-4475-a335-312bc86376d8,2026-04-22 03:37:10.503175,{},ELECT,,,DONE,1776843430.4990208,,
5,ff930afd-84eb-4ba0-a666-73cc9d70d58e,2026-04-22 03:37:25.532773,{},ELECT,,,DONE,1776843445.520159,,
6,af328762-6dc7-452e-a7cc-df9f86301edd,2026-04-22 03:40:21.647028,{},ELECT,,,DONE,1776843621.6317916,,
7,ea88de6f-6c6f-4497-902f-cd3ea76c7185,2026-04-22 03:40:36.693153,{},ELECT,,,DONE,1776843636.6798074,,
8,3bfb78ce-1ed8-4626-89f9-c1bc0f364799,2026-04-22 03:43:36.709987,{},ELECT,,,DONE,1776843816.7050025,,
9,a9a76052-5f89-40bd-8c3d-efba0a9755db,2026-04-22 03:46:36.788224,{},ELECT,,,DONE,1776843996.7851455,,
10,e7c22626-7f60-48e1-92a4-9574f475042d,2026-04-22 03:49:32.459809,{},ELECT,,,DONE,1776844172.4566312,,
11,3fb46604-628f-4a49-9293-6eeddf46e6a2,2026-04-22 03:49:47.495507,{},ELECT,,,DONE,1776844187.482391,,
12,1ccbb974-565e-4852-ba40-ff26e74d8404,2026-04-22 03:50:57.285165,"{0: 156, 1: 82, 2: 230, 3: 84, 4: 37, 5: 1}",RESTOCK,FISH,20,ACKED,1776844242.3734217,1776844257.2861986,
13,b30c9a6d-6d7c-406e-a88e-7367ca36563b,2026-04-22 03:50:57.287212,"{0: 156, 1: 82, 2: 230, 3: 84, 4: 37, 5: 2}",INIT,FISH,1,DONE,1776844242.38037,1776844257.289313,1776844257.4153914
14,b184e0f3-9686-489e-a622-88ceab861cb8,2026-04-22 03:50:57.293778,"{0: 156, 1: 82, 2: 230, 3: 85, 4: 37, 5: 3}",INIT,SALT,4,DONE,1776844244.4167,1776844257.2952116,1776844257.4277725
15,096bcc80-c224-49d4-9566-366cc1c2ea6e,2026-04-22 03:50:57.302784,"{0: 157, 1: 83, 2: 232, 3: 85, 4: 37, 5: 4}",INIT,BOAR,2,DONE,1776844250.461762,1776844257.3040326,1776844257.439562
16,42c0a20e-a3c9-473d-ac9f-f804853a8db0,2026-04-22 03:50:57.304032,"{0: 157, 1: 83, 2: 232, 3: 85, 4: 37, 5: 5}",RESTOCK,FISH,20,ACKED,1776844252.4121075,1776844257.3054912,
17,0b9cc0d4-d454-4be1-bbee-1f2134a28bf1,2026-04-22 03:50:59.539550,"{0: 159, 1: 84, 2: 235, 3: 86, 4: 37, 5: 6}",INIT,BOAR,4,DONE,1776844259.532885,1776844259.5416,1776844259.6558805
18,5d294b07-9578-4c89-b573-15a551c56427,2026-04-22 03:51:02.479039,"{0: 160, 1: 84, 2: 235, 3: 86, 4: 37, 5: 7}",RESTOCK,FISH,20,ACKED,1776844262.4717262,1776844262.4802258,
19,69a5e70a-179f-47d4-97e5-c855fad47816,2026-04-22 03:51:02.597393,"{0: 160, 1: 84, 2: 235, 3: 86, 4: 37, 5: 8}",INIT,FISH,6,DONE,1776844262.581392,1776844262.5986145,1776844262.7172573
20,03bf3a25-d883-4950-91d3-56c080a5a2b8,2026-04-22 03:51:06.688827,"{0: 161, 1: 84, 2: 236, 3: 87, 4: 37, 5: 9}",INIT,BOAR,8,DONE,1776844266.6786444,1776844266.6888278,1776844266.8131225
21,2b305036-9077-4ac0-a0a3-8f3266ec3570,2026-04-22 03:51:07.798648,"{0: 161, 1: 84, 2: 236, 3: 87, 4: 37, 5: 10}",INIT,SALT,3,DONE,1776844267.7924485,1776844267.7996745,1776844267.9138272
22,ef3cd01e-1011-4f0d-b7c5-a19fb5a85a17,2026-04-22 03:51:12.511686,"{0: 162, 1: 85, 2: 237, 3: 87, 4: 37, 5: 11}",RESTOCK,BOAR,20,ACKED,1776844272.500175,1776844272.513746,
23,dbb7f069-77eb-445b-9e1f-cb458fbbc3e7,2026-04-22 03:51:14.820178,"{0: 162, 1: 85, 2: 238, 3: 88, 4: 37, 5: 12}",INIT,SALT,6,DONE,1776844274.8138912,1776844274.820178,1776844274.9378798
24,d5059e29-9362-4e4b-8fa4-891bb04a2336,2026-04-22 03:51:18.831306,"{0: 163, 1: 86, 2: 238, 3: 88, 4: 37, 5: 13}",INIT,SALT,3,DONE,1776844278.8213658,1776844278.8323634,1776844278.9544556
25,bfe6f437-2c4e-4f93-a4cb-99e6b6c354ea,2026-04-22 03:51:22.544223,"{0: 163, 1: 86, 2: 239, 3: 88, 4: 37, 5: 14}",RESTOCK,FISH,20,ACKED,1776844282.5383856,1776844282.5454404,
26,109dd024-89ce-48d8-942b-602cd8739749,2026-04-22 03:51:22.874639,"{0: 163, 1: 86, 2: 240, 3: 88, 4: 37, 5: 15}",INIT,SALT,3,DONE,1776844282.8657198,1776844282.875642,1776844282.9898129
27,1d0e1989-65b1-440e-8102-17d9d0be56c4,2026-04-22 03:51:25.919721,"{0: 163, 1: 86, 2: 240, 3: 89, 4: 37, 5: 16}",INIT,BOAR,2,DONE,1776844285.9113626,1776844285.9208896,1776844286.0430713
